id,device_id,temperature,pH,tds,turbidity,conductivity,timestamp
31,DEVICE_003,21.9,7.09,125.2,0.68,139.7,2026-03-16 22:17:57.869028
32,DEVICE_003,21.7,7.59,475.3,0.75,117.5,2026-03-16 22:47:57.869028
33,DEVICE_002,22.7,7.58,59.8,0.4,104.9,2026-03-16 23:17:57.869028
34,DEVICE_001,22.2,6.62,224.7,0.55,89.5,2026-03-16 23:47:57.869028
35,DEVICE_002,19.5,6.89,225.4,4.63,83.8,2026-03-17 00:17:57.869028
36,DEVICE_003,15.3,8.02,295.4,0.42,105.3,2026-03-17 00:47:57.869028
37,DEVICE_002,20.9,8.07,124.6,0.14,149.7,2026-03-17 01:17:57.869028
38,DEVICE_003,15.2,7.49,162.8,0.57,62.9,2026-03-17 01:47:57.869028
39,DEVICE_002,20.7,6.56,171.8,0.52,125.7,2026-03-17 02:17:57.869028
40,DEVICE_003,15.3,7.63,707.7,0.74,52.7,2026-03-17 02:47:57.869028
41,DEVICE_003,7.5,9.62,655.3,3.83,124.6,2026-03-17 03:17:57.869028
42,DEVICE_002,15.4,8.0,259.4,0.53,143.6,2026-03-17 03:47:57.869028
43,DEVICE_001,21.6,7.46,172.8,0.67,143.8,2026-03-17 04:17:57.869028
44,DEVICE_003,23.6,8.14,294.0,0.32,142.8,2026-03-17 04:47:57.869028
45,DEVICE_002,18.4,9.75,67.2,0.61,53.9,2026-03-17 05:17:57.869028
46,DEVICE_002,19.4,7.62,133.4,0.22,73.1,2026-03-17 05:47:57.869028
47,DEVICE_003,22.0,7.85,240.7,0.38,110.8,2026-03-17 06:17:57.869028
48,DEVICE_002,20.5,7.1,224.8,0.41,139.3,2026-03-17 06:47:57.869028
49,DEVICE_001,16.5,8.35,207.9,0.23,136.7,2026-03-17 07:17:57.869028
50,DEVICE_002,23.5,8.17,236.3,4.92,93.8,2026-03-17 07:47:57.869028
51,DEVICE_003,16.5,8.16,237.8,0.33,107.7,2026-03-17 08:17:57.869028
52,DEVICE_002,17.3,6.95,179.5,0.68,99.5,2026-03-17 08:47:57.869028
53,DEVICE_003,19.9,6.76,208.4,0.14,78.4,2026-03-17 09:17:57.869028
54,DEVICE_003,22.9,8.47,84.8,0.59,112.7,2026-03-17 09:47:57.869028
55,DEVICE_001,9.0,5.6,525.0,4.15,138.7,2026-03-17 10:17:57.869028
56,DEVICE_003,10.8,8.41,182.4,0.65,118.3,2026-03-17 10:47:57.869028
57,DEVICE_002,16.9,8.49,67.1,0.65,125.5,2026-03-17 11:17:57.869028
58,DEVICE_002,20.2,6.78,251.1,0.68,85.7,2026-03-17 11:47:57.869028
59,DEVICE_001,16.0,7.99,300.0,0.51,86.1,2026-03-17 12:17:57.869028
60,DEVICE_003,16.4,8.24,91.6,0.42,56.6,2026-03-17 12:47:57.869028
61,DEVICE_002,19.6,8.43,158.0,0.39,79.3,2026-03-17 13:17:57.869028
62,DEVICE_003,19.9,7.37,161.4,0.47,113.5,2026-03-17 13:47:57.869028
63,DEVICE_002,12.6,7.09,214.6,0.31,149.1,2026-03-17 14:17:57.869028
64,DEVICE_003,16.0,6.7,368.7,0.84,94.2,2026-03-17 14:47:57.869028
65,DEVICE_001,23.9,8.09,124.7,0.42,145.9,2026-03-17 15:17:57.869028
66,DEVICE_001,21.8,8.05,216.1,0.36,148.3,2026-03-17 15:47:57.869028
67,DEVICE_001,21.1,7.63,253.5,0.24,134.3,2026-03-17 16:17:57.869028
68,DEVICE_003,23.8,6.73,240.9,0.17,94.8,2026-03-17 16:47:57.869028
69,DEVICE_002,18.2,8.15,239.0,0.1,63.4,2026-03-17 17:17:57.869028
70,DEVICE_002,24.3,7.67,86.0,0.83,111.6,2026-03-17 17:47:57.869028
71,DEVICE_001,20.7,7.69,128.2,0.68,51.1,2026-03-17 18:17:57.869028
72,DEVICE_003,12.6,6.39,599.6,4.95,113.1,2026-03-17 18:47:57.869028
73,DEVICE_002,23.8,7.06,143.7,0.58,93.7,2026-03-17 19:17:57.869028
74,DEVICE_001,13.2,7.6,290.0,0.79,52.0,2026-03-17 19:47:57.869028
75,DEVICE_002,17.8,7.55,192.6,0.64,103.0,2026-03-17 20:17:57.869028
76,DEVICE_001,17.7,8.33,248.2,0.22,148.5,2026-03-17 20:47:57.869028
77,DEVICE_002,21.8,7.68,169.3,0.19,118.1,2026-03-17 21:17:57.869028
78,DEVICE_001,23.8,6.56,414.3,0.33,72.4,2026-03-17 21:47:57.869028
79,DEVICE_002,12.1,6.77,217.5,0.4,111.7,2026-03-17 22:17:57.869028
80,DEVICE_003,22.8,7.68,544.8,0.52,74.2,2026-03-17 22:47:57.869028
81,DEVICE_002,23.2,7.1,234.8,0.18,135.3,2026-03-17 23:17:57.869028
82,DEVICE_003,18.6,9.65,116.6,0.16,93.3,2026-03-17 23:47:57.869028
83,DEVICE_003,20.3,6.88,189.5,0.48,50.0,2026-03-18 00:17:57.869028
84,DEVICE_002,23.4,6.69,241.0,0.26,144.1,2026-03-18 00:47:57.869028
85,DEVICE_001,16.1,6.72,182.9,3.39,100.6,2026-03-18 01:17:57.869028
86,DEVICE_002,19.4,8.1,138.5,0.18,89.0,2026-03-18 01:47:57.869028
87,DEVICE_001,22.5,7.2,60.0,0.19,104.4,2026-03-18 02:17:57.869028
88,DEVICE_002,21.5,6.63,57.8,0.22,68.6,2026-03-18 02:47:57.869028
89,DEVICE_003,17.1,7.24,63.0,0.24,90.8,2026-03-18 03:17:57.869028
90,DEVICE_003,20.6,7.33,190.8,0.33,130.8,2026-03-18 03:47:57.869028
91,DEVICE_003,20.0,6.67,70.0,0.26,134.9,2026-03-18 04:17:57.869028
92,DEVICE_003,22.6,6.95,106.4,0.18,98.0,2026-03-18 04:47:57.869028
93,DEVICE_002,6.5,4.5,717.9,4.5,79.8,2026-03-18 05:17:57.869028
94,DEVICE_002,20.6,7.31,62.6,0.51,149.2,2026-03-18 05:47:57.869028
95,DEVICE_003,15.7,6.68,107.4,0.66,95.5,2026-03-18 06:17:57.869028
96,DEVICE_003,11.4,6.69,220.2,0.67,64.4,2026-03-18 06:47:57.869028
97,DEVICE_002,17.8,9.7,236.5,0.19,117.6,2026-03-18 07:17:57.869028
98,DEVICE_002,24.4,7.48,169.1,0.87,106.0,2026-03-18 07:47:57.869028
99,DEVICE_002,24.8,8.43,198.6,0.3,60.4,2026-03-18 08:17:57.869028
100,DEVICE_001,15.8,8.17,299.8,0.4,141.7,2026-03-18 08:47:57.869028
101,DEVICE_002,8.9,6.73,151.8,0.53,100.5,2026-03-18 09:17:57.869028
102,DEVICE_003,21.5,7.24,158.1,0.23,103.4,2026-03-18 09:47:57.869028
103,DEVICE_002,20.4,6.6,78.4,0.8,65.8,2026-03-18 10:17:57.869028
104,DEVICE_003,19.0,7.19,119.1,0.33,82.4,2026-03-18 10:47:57.869028
105,DEVICE_002,19.4,6.56,203.1,0.3,58.7,2026-03-18 11:17:57.869028
106,DEVICE_001,16.1,8.01,148.4,0.36,65.5,2026-03-18 11:47:57.869028
107,DEVICE_003,24.0,8.04,256.5,0.75,94.8,2026-03-18 12:17:57.869028
108,DEVICE_002,21.9,6.88,192.7,0.18,131.7,2026-03-18 12:47:57.869028
109,DEVICE_001,15.8,8.2,184.7,0.76,87.4,2026-03-18 13:17:57.869028
110,DEVICE_003,16.1,6.58,222.5,0.8,119.3,2026-03-18 13:47:57.869028
111,DEVICE_001,23.5,9.79,241.6,0.45,61.0,2026-03-18 14:17:57.869028
112,DEVICE_002,24.9,7.31,79.0,0.59,77.9,2026-03-18 14:47:57.869028
113,DEVICE_002,24.3,7.98,148.2,0.55,72.9,2026-03-18 15:17:57.869028
114,DEVICE_001,20.0,6.68,200.8,0.43,144.7,2026-03-18 15:47:57.869028
115,DEVICE_002,16.0,7.22,68.5,0.54,88.6,2026-03-18 16:17:57.869028
116,DEVICE_001,21.0,6.04,136.8,0.37,98.4,2026-03-18 16:47:57.869028
117,DEVICE_001,17.0,7.74,264.2,0.61,89.8,2026-03-18 17:17:57.869028
118,DEVICE_003,6.0,7.12,234.5,0.77,147.5,2026-03-18 17:47:57.869028
119,DEVICE_002,22.7,8.02,245.7,0.62,106.3,2026-03-18 18:17:57.869028
120,DEVICE_003,17.6,9.02,136.5,0.78,108.9,2026-03-18 18:47:57.869028
121,DEVICE_002,23.3,6.76,238.5,0.66,130.7,2026-03-18 19:17:57.869028
122,DEVICE_003,17.9,6.76,126.0,0.11,145.2,2026-03-18 19:47:57.869028
123,DEVICE_002,17.5,8.04,100.5,0.16,100.7,2026-03-18 20:17:57.869028
124,DEVICE_003,21.3,7.49,213.5,0.75,103.1,2026-03-18 20:47:57.869028
125,DEVICE_002,18.5,7.2,141.3,0.38,102.5,2026-03-18 21:17:57.869028
126,DEVICE_003,17.8,8.29,243.8,0.76,77.1,2026-03-18 21:47:57.869028
127,DEVICE_001,19.6,6.69,65.0,0.53,88.2,2026-03-18 22:17:57.869028
128,DEVICE_001,7.7,7.02,152.7,0.7,113.7,2026-03-18 22:47:57.869028
129,DEVICE_002,16.3,7.03,93.7,0.34,83.7,2026-03-18 23:17:57.869028
130,DEVICE_002,17.1,7.67,270.8,0.83,143.1,2026-03-18 23:47:57.869028
131,DEVICE_002,21.1,8.03,291.3,0.28,106.9,2026-03-19 00:17:57.869028
132,DEVICE_003,13.8,9.76,700.6,3.69,129.3,2026-03-19 00:47:57.869028
133,DEVICE_003,23.5,6.99,201.9,0.52,112.9,2026-03-19 01:17:57.869028
134,DEVICE_002,24.7,8.1,199.0,0.74,122.8,2026-03-19 01:47:57.869028
135,DEVICE_001,24.7,7.19,257.7,3.3,125.0,2026-03-19 02:17:57.869028
136,DEVICE_003,22.4,7.09,277.1,0.42,57.1,2026-03-19 02:47:57.869028
137,DEVICE_003,20.1,7.47,196.9,0.64,97.4,2026-03-19 03:17:57.869028
138,DEVICE_003,17.2,7.44,99.0,0.65,91.9,2026-03-19 03:47:57.869028
139,DEVICE_001,19.1,8.35,712.7,0.78,94.9,2026-03-19 04:17:57.869028
140,DEVICE_001,23.4,7.68,191.8,0.6,136.1,2026-03-19 04:47:57.869028
141,DEVICE_003,17.1,4.64,165.5,0.15,77.4,2026-03-19 05:17:57.869028
142,DEVICE_002,20.6,6.6,113.9,0.49,74.9,2026-03-19 05:47:57.869028
143,DEVICE_002,24.9,7.32,187.6,0.78,95.4,2026-03-19 06:17:57.869028
144,DEVICE_003,20.1,7.77,122.3,4.46,107.5,2026-03-19 06:47:57.869028
145,DEVICE_003,12.4,4.95,407.7,3.72,53.6,2026-03-19 07:17:57.869028
146,DEVICE_002,17.0,7.13,201.8,0.79,111.5,2026-03-19 07:47:57.869028
147,DEVICE_002,17.1,6.61,217.0,0.48,61.2,2026-03-19 08:17:57.869028
148,DEVICE_002,21.2,7.36,723.2,0.62,145.9,2026-03-19 08:47:57.869028
149,DEVICE_001,17.7,7.63,73.2,3.74,93.8,2026-03-19 09:17:57.869028
150,DEVICE_001,12.7,9.97,787.3,3.95,136.8,2026-03-19 09:47:57.869028
151,DEVICE_001,17.0,9.52,152.6,0.29,53.8,2026-03-19 10:17:57.869028
152,DEVICE_003,18.7,7.07,244.6,0.5,92.6,2026-03-19 10:47:57.869028
153,DEVICE_002,16.6,6.65,715.1,0.39,137.2,2026-03-19 11:17:57.869028
154,DEVICE_003,18.9,5.23,188.5,0.46,68.5,2026-03-19 11:47:57.869028
155,DEVICE_002,16.4,6.89,286.3,0.83,97.0,2026-03-19 12:17:57.869028
156,DEVICE_003,16.3,8.28,235.1,0.11,107.7,2026-03-19 12:47:57.869028
157,DEVICE_003,22.4,7.03,171.8,0.26,83.9,2026-03-19 13:17:57.869028
158,DEVICE_003,22.3,6.82,239.8,0.86,84.2,2026-03-19 13:47:57.869028
159,DEVICE_001,15.7,7.9,267.2,0.42,103.0,2026-03-19 14:17:57.869028
160,DEVICE_002,23.2,7.99,220.9,0.39,124.0,2026-03-19 14:47:57.869028
161,DEVICE_001,20.0,7.68,245.9,0.69,75.5,2026-03-19 15:17:57.869028
162,DEVICE_001,19.7,7.53,121.5,2.97,115.0,2026-03-19 15:47:57.869028
163,DEVICE_001,17.5,7.74,183.1,0.17,93.8,2026-03-19 16:17:57.869028
164,DEVICE_001,19.9,5.0,70.3,0.75,89.2,2026-03-19 16:47:57.869028
165,DEVICE_003,10.1,9.18,707.3,4.34,143.3,2026-03-19 17:17:57.869028
166,DEVICE_002,22.0,6.88,224.7,0.63,97.3,2026-03-19 17:47:57.869028
167,DEVICE_002,21.1,8.34,103.6,0.55,83.9,2026-03-19 18:17:57.869028
168,DEVICE_001,22.0,8.23,228.5,0.89,139.6,2026-03-19 18:47:57.869028
169,DEVICE_001,7.4,8.48,81.8,0.71,107.7,2026-03-19 19:17:57.869028
170,DEVICE_003,16.9,6.88,92.2,0.71,75.9,2026-03-19 19:47:57.869028
171,DEVICE_001,17.1,6.82,294.0,4.28,76.9,2026-03-19 20:17:57.869028
172,DEVICE_001,22.3,7.35,268.0,0.25,139.9,2026-03-19 20:47:57.869028
173,DEVICE_003,19.0,7.86,65.4,0.72,95.7,2026-03-19 21:17:57.869028
174,DEVICE_002,10.2,7.16,273.1,0.19,57.5,2026-03-19 21:47:57.869028
175,DEVICE_002,20.6,8.26,155.3,0.35,123.6,2026-03-19 22:17:57.869028
176,DEVICE_002,19.0,7.31,250.4,0.2,140.7,2026-03-19 22:47:57.869028
177,DEVICE_003,15.1,7.31,260.2,0.38,89.1,2026-03-19 23:17:57.869028
178,DEVICE_003,18.9,8.34,243.4,0.41,72.9,2026-03-19 23:47:57.869028
179,DEVICE_002,9.4,8.31,248.0,0.71,105.3,2026-03-20 00:17:57.869028
180,DEVICE_002,17.9,8.06,220.0,0.48,137.8,2026-03-20 00:47:57.869028
181,DEVICE_003,22.7,7.79,229.6,0.54,120.9,2026-03-20 01:17:57.869028
182,DEVICE_001,15.5,7.55,292.6,0.4,132.4,2026-03-20 01:47:57.869028
183,DEVICE_003,24.0,8.47,88.8,0.67,131.5,2026-03-20 02:17:57.869028
184,DEVICE_002,7.5,7.25,252.8,0.32,130.9,2026-03-20 02:47:57.869028
185,DEVICE_001,15.5,7.42,238.6,0.58,149.5,2026-03-20 03:17:57.869028
186,DEVICE_001,21.3,7.92,267.3,0.68,105.8,2026-03-20 03:47:57.869028
187,DEVICE_002,23.5,7.23,257.3,0.44,52.9,2026-03-20 04:17:57.869028
188,DEVICE_001,13.2,7.01,147.5,0.42,72.5,2026-03-20 04:47:57.869028
189,DEVICE_003,25.0,7.86,81.3,0.72,123.7,2026-03-20 05:17:57.869028
190,DEVICE_002,16.9,6.72,127.0,0.58,71.3,2026-03-20 05:47:57.869028
191,DEVICE_003,23.1,7.87,181.5,2.21,135.7,2026-03-20 06:17:57.869028
192,DEVICE_001,21.0,8.25,113.6,0.89,68.1,2026-03-20 06:47:57.869028
193,DEVICE_001,12.7,9.6,364.4,2.16,101.3,2026-03-20 07:17:57.869028
194,DEVICE_001,6.0,5.71,363.8,4.59,52.2,2026-03-20 07:47:57.869028
195,DEVICE_001,16.3,7.71,190.0,0.77,70.8,2026-03-20 08:17:57.869028
196,DEVICE_002,24.8,7.23,78.4,0.87,80.2,2026-03-20 08:47:57.869028
197,DEVICE_001,16.2,7.4,268.1,0.85,104.4,2026-03-20 09:17:57.869028
198,DEVICE_002,21.8,8.04,96.7,0.28,65.8,2026-03-20 09:47:57.869028
199,DEVICE_002,18.3,7.84,70.6,0.66,64.6,2026-03-20 10:17:57.869028
200,DEVICE_002,21.2,7.91,186.3,0.78,72.1,2026-03-20 10:47:57.869028
201,DEVICE_003,19.1,8.25,86.5,0.48,109.0,2026-03-20 11:17:57.869028
202,DEVICE_003,17.3,7.84,238.4,0.28,127.7,2026-03-20 11:47:57.869028
203,DEVICE_001,21.2,7.77,704.6,0.66,118.6,2026-03-20 12:17:57.869028
204,DEVICE_001,15.2,7.81,235.4,0.14,91.9,2026-03-20 12:47:57.869028
205,DEVICE_002,19.0,7.38,229.3,3.23,89.8,2026-03-20 13:17:57.869028
206,DEVICE_003,19.9,7.88,61.3,0.27,68.5,2026-03-20 13:47:57.869028
207,DEVICE_002,18.3,9.12,97.3,0.59,57.7,2026-03-20 14:17:57.869028
208,DEVICE_002,19.9,7.35,189.8,0.29,86.2,2026-03-20 14:47:57.869028
209,DEVICE_002,18.5,7.01,161.1,0.25,148.8,2026-03-20 15:17:57.869028
210,DEVICE_001,16.9,7.95,174.7,0.51,88.1,2026-03-20 15:47:57.869028
211,DEVICE_002,22.6,8.49,70.5,0.52,63.9,2026-03-20 16:17:57.869028
212,DEVICE_002,24.3,6.51,82.8,0.33,120.9,2026-03-20 16:47:57.869028
213,DEVICE_003,24.8,6.89,194.2,0.84,90.6,2026-03-20 17:17:57.869028
214,DEVICE_003,17.9,7.04,147.2,0.68,147.8,2026-03-20 17:47:57.869028
215,DEVICE_003,15.3,7.27,718.3,0.44,139.2,2026-03-20 18:17:57.869028
216,DEVICE_002,18.4,8.34,75.5,0.81,92.4,2026-03-20 18:47:57.869028
217,DEVICE_003,16.8,6.72,256.4,0.11,144.4,2026-03-20 19:17:57.869028
218,DEVICE_002,11.9,4.61,525.5,1.91,140.0,2026-03-20 19:47:57.869028
219,DEVICE_003,22.0,8.23,168.1,0.46,117.2,2026-03-20 20:17:57.869028
220,DEVICE_001,19.7,7.14,68.2,0.51,110.9,2026-03-20 20:47:57.869028
221,DEVICE_003,16.2,7.68,271.9,0.26,134.9,2026-03-20 21:17:57.869028
222,DEVICE_003,20.6,6.52,624.2,0.14,101.9,2026-03-20 21:47:57.869028
223,DEVICE_003,20.2,6.99,164.6,0.59,119.2,2026-03-20 22:17:57.869028
224,DEVICE_003,17.9,8.08,245.1,0.85,146.9,2026-03-20 22:47:57.869028
225,DEVICE_003,19.8,7.6,271.6,0.36,69.8,2026-03-20 23:17:57.869028
226,DEVICE_002,17.2,7.72,86.3,0.32,123.3,2026-03-20 23:47:57.869028
227,DEVICE_002,17.3,7.23,95.7,0.88,146.2,2026-03-21 00:17:57.869028
228,DEVICE_001,15.1,7.88,617.2,0.37,142.5,2026-03-21 00:47:57.869028
229,DEVICE_001,20.2,6.63,260.3,0.4,90.3,2026-03-21 01:17:57.869028
230,DEVICE_001,20.3,7.14,164.1,0.21,53.9,2026-03-21 01:47:57.869028
231,DEVICE_001,21.9,7.91,115.5,0.57,83.7,2026-03-21 02:17:57.869028
232,DEVICE_003,18.9,6.53,239.7,0.82,149.5,2026-03-21 02:47:57.869028
233,DEVICE_001,16.5,9.16,190.9,0.79,114.1,2026-03-21 03:17:57.869028
234,DEVICE_002,19.3,6.97,78.5,0.85,87.1,2026-03-21 03:47:57.869028
235,DEVICE_001,17.7,8.18,235.2,0.25,100.6,2026-03-21 04:17:57.869028
236,DEVICE_002,24.4,7.41,58.9,0.85,92.0,2026-03-21 04:47:57.869028
237,DEVICE_003,19.9,8.69,209.0,0.19,120.1,2026-03-21 05:17:57.869028
238,DEVICE_003,19.2,7.54,198.0,0.47,81.1,2026-03-21 05:47:57.869028
239,DEVICE_002,21.5,8.12,292.3,0.26,109.9,2026-03-21 06:17:57.869028
240,DEVICE_002,22.3,6.59,166.6,0.88,131.9,2026-03-21 06:47:57.869028
241,DEVICE_001,19.9,7.24,91.7,0.65,89.4,2026-03-21 07:17:57.869028
242,DEVICE_002,22.1,7.1,208.4,0.77,91.4,2026-03-21 07:47:57.869028
243,DEVICE_002,19.1,8.3,208.1,0.75,100.6,2026-03-21 08:17:57.869028
244,DEVICE_002,22.4,8.44,137.9,0.58,128.3,2026-03-21 08:47:57.869028
245,DEVICE_003,12.9,7.22,67.7,0.18,98.4,2026-03-21 09:17:57.869028
246,DEVICE_001,23.2,6.69,173.8,0.74,63.0,2026-03-21 09:47:57.869028
247,DEVICE_003,10.7,9.47,680.8,4.97,98.5,2026-03-21 10:17:57.869028
248,DEVICE_003,22.0,6.95,546.4,0.23,55.2,2026-03-21 10:47:57.869028
249,DEVICE_003,24.7,6.83,160.1,0.59,67.8,2026-03-21 11:17:57.869028
250,DEVICE_001,19.1,6.54,224.8,0.55,69.5,2026-03-21 11:47:57.869028
251,DEVICE_002,22.6,7.67,267.6,3.72,79.0,2026-03-21 12:17:57.869028
252,DEVICE_003,15.2,7.45,193.3,0.67,118.0,2026-03-21 12:47:57.869028
253,DEVICE_003,24.2,7.48,225.8,0.39,112.7,2026-03-21 13:17:57.869028
254,DEVICE_002,15.2,6.53,231.4,0.13,70.7,2026-03-21 13:47:57.869028
255,DEVICE_001,16.2,7.69,284.5,0.18,68.1,2026-03-21 14:17:57.869028
256,DEVICE_001,7.3,8.28,203.9,0.56,86.5,2026-03-21 14:47:57.869028
257,DEVICE_003,21.2,5.85,98.2,0.4,102.3,2026-03-21 15:17:57.869028
258,DEVICE_002,23.7,8.28,184.9,0.47,81.6,2026-03-21 15:47:57.869028
259,DEVICE_001,21.7,7.78,120.4,0.59,96.9,2026-03-21 16:17:57.869028
260,DEVICE_003,15.1,8.28,540.4,0.83,60.0,2026-03-21 16:47:57.869028
261,DEVICE_001,6.1,8.02,290.9,0.14,116.4,2026-03-21 17:17:57.869028
262,DEVICE_003,22.0,7.65,262.6,0.33,103.7,2026-03-21 17:47:57.869028
263,DEVICE_001,16.4,6.5,89.0,0.19,85.8,2026-03-21 18:17:57.869028
264,DEVICE_001,20.1,7.99,267.3,0.11,70.4,2026-03-21 18:47:57.869028
265,DEVICE_003,17.7,8.16,235.7,0.37,53.6,2026-03-21 19:17:57.869028
266,DEVICE_001,16.8,7.37,253.3,0.69,73.4,2026-03-21 19:47:57.869028
267,DEVICE_003,23.2,4.43,284.9,0.8,144.7,2026-03-21 20:17:57.869028
268,DEVICE_002,15.1,6.77,71.0,0.51,58.3,2026-03-21 20:47:57.869028
269,DEVICE_003,19.6,7.94,225.2,2.38,129.4,2026-03-21 21:17:57.869028
270,DEVICE_002,18.3,8.02,275.3,0.81,84.3,2026-03-21 21:47:57.869028
271,DEVICE_003,19.5,7.7,160.8,0.8,135.8,2026-03-21 22:17:57.869028
272,DEVICE_001,21.6,7.87,138.1,0.82,133.0,2026-03-21 22:47:57.869028
273,DEVICE_002,24.1,8.3,110.5,0.6,129.3,2026-03-21 23:17:57.869028
274,DEVICE_001,16.2,8.47,242.5,0.14,133.7,2026-03-21 23:47:57.869028
275,DEVICE_002,17.0,6.66,129.9,0.41,110.8,2026-03-22 00:17:57.869028
276,DEVICE_003,18.8,8.43,79.4,0.2,141.7,2026-03-22 00:47:57.869028
277,DEVICE_002,20.6,6.85,130.5,0.48,107.8,2026-03-22 01:17:57.869028
278,DEVICE_003,16.1,7.42,150.0,0.58,79.0,2026-03-22 01:47:57.869028
279,DEVICE_001,19.2,6.62,252.0,0.15,68.0,2026-03-22 02:17:57.869028
280,DEVICE_001,11.3,7.64,151.6,0.85,135.7,2026-03-22 02:47:57.869028
281,DEVICE_003,17.6,7.04,135.4,0.19,118.6,2026-03-22 03:17:57.869028
282,DEVICE_001,24.6,7.36,195.3,0.78,99.7,2026-03-22 03:47:57.869028
283,DEVICE_001,20.6,8.3,197.3,0.15,63.6,2026-03-22 04:17:57.869028
284,DEVICE_001,24.3,7.13,241.3,0.11,77.6,2026-03-22 04:47:57.869028
285,DEVICE_002,19.2,8.46,89.9,0.62,120.6,2026-03-22 05:17:57.869028
286,DEVICE_002,24.8,7.43,102.9,0.17,99.3,2026-03-22 05:47:57.869028
287,DEVICE_002,21.3,8.1,235.9,0.46,114.7,2026-03-22 06:17:57.869028
288,DEVICE_001,18.4,8.1,52.9,0.15,50.9,2026-03-22 06:47:57.869028
289,DEVICE_003,17.5,8.2,158.2,0.21,142.5,2026-03-22 07:17:57.869028
290,DEVICE_002,20.3,8.49,150.5,0.53,60.8,2026-03-22 07:47:57.869028
291,DEVICE_002,18.4,7.13,248.4,0.22,138.0,2026-03-22 08:17:57.869028
292,DEVICE_003,23.5,7.87,234.4,0.49,80.5,2026-03-22 08:47:57.869028
293,DEVICE_001,22.5,7.67,108.6,0.38,80.0,2026-03-22 09:17:57.869028
294,DEVICE_002,15.1,6.63,281.5,0.61,75.1,2026-03-22 09:47:57.869028
295,DEVICE_002,17.2,8.26,135.3,0.58,64.9,2026-03-22 10:17:57.869028
296,DEVICE_001,24.2,6.91,235.6,0.19,132.6,2026-03-22 10:47:57.869028
297,DEVICE_003,25.0,7.99,558.2,0.49,113.5,2026-03-22 11:17:57.869028
298,DEVICE_001,17.9,7.28,224.0,0.62,82.1,2026-03-22 11:47:57.869028
299,DEVICE_001,15.3,7.22,157.1,0.43,93.1,2026-03-22 12:17:57.869028
300,DEVICE_002,23.2,9.29,238.3,0.7,64.2,2026-03-22 12:47:57.869028
301,DEVICE_003,20.5,7.73,134.3,3.22,80.7,2026-03-22 13:17:57.869028
302,DEVICE_001,18.0,7.11,146.2,0.13,118.5,2026-03-22 13:47:57.869028
303,DEVICE_002,20.2,6.76,562.6,0.22,108.0,2026-03-22 14:17:57.869028
