device_id,pH,tds,turbidity,conductivity,temperature,timestamp,created_at
DEVICE_002,7.24,200.91,0.67,118.9,23.86,2026-04-16 19:10:32,2026-04-16 16:10:32
DEVICE_003,7.3,176.38,0.69,122.87,26.01,2026-04-16 19:10:32,2026-04-16 16:10:32
DEVICE_001,7.19,290.44,1.5,121.83,25.49,2026-04-16 19:40:32,2026-04-16 16:10:32
DEVICE_002,7.22,196.57,0.68,117.21,23.99,2026-04-16 19:40:32,2026-04-16 16:10:32
DEVICE_003,7.31,178.91,0.74,121.46,25.79,2026-04-16 19:40:32,2026-04-16 16:10:32
DEVICE_001,7.16,289.26,1.5,121.85,25.9,2026-04-16 20:10:32,2026-04-16 16:10:32
DEVICE_002,7.23,200.34,0.66,117.66,23.79,2026-04-16 20:10:32,2026-04-16 16:10:32
DEVICE_003,7.26,182.25,0.73,119.72,25.82,2026-04-16 20:10:32,2026-04-16 16:10:32
DEVICE_001,7.2,293.04,1.5,122.8,25.63,2026-04-16 20:40:32,2026-04-16 16:10:32
DEVICE_002,7.26,201.21,0.68,117.81,24.12,2026-04-16 20:40:32,2026-04-16 16:10:32
DEVICE_003,7.24,186.65,0.74,118.98,25.95,2026-04-16 20:40:32,2026-04-16 16:10:32
DEVICE_001,7.18,291.69,1.47,124.34,25.92,2026-04-16 21:10:32,2026-04-16 16:10:32
DEVICE_002,7.26,197.7,0.66,115.95,23.84,2026-04-16 21:10:32,2026-04-16 16:10:32
DEVICE_003,7.27,183.66,0.7,120.88,25.59,2026-04-16 21:10:32,2026-04-16 16:10:32
DEVICE_001,7.17,289.51,1.49,123.86,26.42,2026-04-16 21:40:32,2026-04-16 16:10:32
DEVICE_002,7.3,194.79,0.69,114.21,23.47,2026-04-16 21:40:32,2026-04-16 16:10:32
DEVICE_003,7.25,182.44,0.73,119.87,25.26,2026-04-16 21:40:32,2026-04-16 16:10:32
DEVICE_001,7.19,290.52,1.48,124.95,26.04,2026-04-16 22:10:32,2026-04-16 16:10:32
DEVICE_002,7.31,199.35,0.68,115.69,23.42,2026-04-16 22:10:32,2026-04-16 16:10:32
DEVICE_003,7.3,331.15,2.21,121.48,25.29,2026-04-16 22:10:32,2026-04-16 16:10:32
DEVICE_001,7.22,295.29,1.48,123.32,25.95,2026-04-16 22:40:32,2026-04-16 16:10:32
DEVICE_002,7.27,198.71,0.65,114.53,23.44,2026-04-16 22:40:32,2026-04-16 16:10:32
DEVICE_003,7.3,300.0,1.5,122.0,24.93,2026-04-16 22:40:32,2026-04-16 16:10:32
DEVICE_001,7.23,293.48,1.5,123.22,25.77,2026-04-16 23:10:32,2026-04-16 16:10:32
DEVICE_002,7.29,194.97,0.68,114.86,23.54,2026-04-16 23:10:32,2026-04-16 16:10:32
DEVICE_003,7.34,300.0,1.46,122.66,24.63,2026-04-16 23:10:32,2026-04-16 16:10:32
DEVICE_001,7.25,291.05,1.5,123.04,25.79,2026-04-16 23:40:32,2026-04-16 16:10:32
DEVICE_002,7.33,198.29,0.66,113.76,23.42,2026-04-16 23:40:32,2026-04-16 16:10:32
DEVICE_003,7.29,300.0,1.5,121.96,24.59,2026-04-16 23:40:32,2026-04-16 16:10:32
DEVICE_001,7.23,289.12,1.48,121.32,25.53,2026-04-17 00:10:32,2026-04-16 16:10:32
DEVICE_002,7.37,202.41,0.69,113.84,23.31,2026-04-17 00:10:32,2026-04-16 16:10:32
DEVICE_003,7.32,296.11,1.49,123.19,24.94,2026-04-17 00:10:32,2026-04-16 16:10:32
DEVICE_001,7.21,293.25,1.5,119.97,25.08,2026-04-17 00:40:32,2026-04-16 16:10:32
DEVICE_002,7.37,203.27,0.71,113.02,23.73,2026-04-17 00:40:32,2026-04-16 16:10:32
DEVICE_003,7.33,296.95,1.45,123.46,25.14,2026-04-17 00:40:32,2026-04-16 16:10:32
DEVICE_001,7.18,290.93,1.46,118.71,25.22,2026-04-17 01:10:32,2026-04-16 16:10:32
DEVICE_002,7.35,207.96,0.7,111.35,23.55,2026-04-17 01:10:32,2026-04-16 16:10:32
DEVICE_003,7.31,295.89,1.49,122.57,24.86,2026-04-17 01:10:32,2026-04-16 16:10:32
DEVICE_001,7.15,292.28,1.5,119.18,25.55,2026-04-17 01:40:32,2026-04-16 16:10:32
DEVICE_002,7.34,206.05,0.68,111.64,23.53,2026-04-17 01:40:32,2026-04-16 16:10:32
DEVICE_003,7.29,291.4,1.48,124.53,25.35,2026-04-17 01:40:32,2026-04-16 16:10:32
DEVICE_001,7.12,295.06,1.5,117.94,25.41,2026-04-17 02:10:32,2026-04-16 16:10:32
DEVICE_002,7.34,207.15,0.64,113.2,23.52,2026-04-17 02:10:32,2026-04-16 16:10:32
DEVICE_003,7.24,292.08,1.5,125.3,25.75,2026-04-17 02:10:32,2026-04-16 16:10:32
DEVICE_001,7.11,290.85,1.47,116.59,25.65,2026-04-17 02:40:32,2026-04-16 16:10:32
DEVICE_002,7.35,211.8,0.61,112.98,23.7,2026-04-17 02:40:32,2026-04-16 16:10:32
DEVICE_003,7.2,289.62,1.47,123.66,25.4,2026-04-17 02:40:32,2026-04-16 16:10:32
DEVICE_001,7.15,287.63,1.49,117.41,25.82,2026-04-17 03:10:32,2026-04-16 16:10:32
DEVICE_002,7.35,215.39,0.6,111.93,23.46,2026-04-17 03:10:32,2026-04-16 16:10:32
DEVICE_003,7.16,294.49,1.49,124.56,24.96,2026-04-17 03:10:32,2026-04-16 16:10:32
DEVICE_001,7.17,291.75,1.5,117.11,26.04,2026-04-17 03:40:32,2026-04-16 16:10:32
DEVICE_002,7.31,218.41,0.65,112.74,23.11,2026-04-17 03:40:32,2026-04-16 16:10:32
DEVICE_003,7.21,291.23,1.5,124.48,24.92,2026-04-17 03:40:32,2026-04-16 16:10:32
DEVICE_001,7.19,295.01,1.46,118.21,26.09,2026-04-17 04:10:32,2026-04-16 16:10:32
DEVICE_002,7.33,219.07,0.68,112.34,23.14,2026-04-17 04:10:32,2026-04-16 16:10:32
DEVICE_003,7.23,293.74,1.5,125.25,25.07,2026-04-17 04:10:32,2026-04-16 16:10:32
DEVICE_001,7.15,292.55,1.49,119.13,25.69,2026-04-17 04:40:32,2026-04-16 16:10:32
DEVICE_002,7.38,215.12,0.66,112.83,23.24,2026-04-17 04:40:32,2026-04-16 16:10:32
DEVICE_003,7.27,298.57,1.45,123.8,24.86,2026-04-17 04:40:32,2026-04-16 16:10:32
DEVICE_001,7.14,290.62,1.5,117.62,26.05,2026-04-17 05:10:32,2026-04-16 16:10:32
DEVICE_002,7.43,210.73,0.63,112.67,23.04,2026-04-17 05:10:32,2026-04-16 16:10:32
DEVICE_003,7.29,436.3,3.27,125.72,25.26,2026-04-17 05:10:32,2026-04-16 16:10:32
DEVICE_001,7.17,286.98,1.49,119.36,25.66,2026-04-17 05:40:32,2026-04-16 16:10:32
DEVICE_002,7.38,207.34,0.61,113.43,22.62,2026-04-17 05:40:32,2026-04-16 16:10:32
DEVICE_003,7.29,300.0,1.5,125.43,25.3,2026-04-17 05:40:32,2026-04-16 16:10:32
DEVICE_001,7.13,289.77,1.49,119.46,25.58,2026-04-17 06:10:32,2026-04-16 16:10:32
DEVICE_002,7.4,208.05,0.6,113.1,22.99,2026-04-17 06:10:32,2026-04-16 16:10:32
DEVICE_003,7.31,296.23,1.46,125.73,25.72,2026-04-17 06:10:32,2026-04-16 16:10:32
DEVICE_001,7.09,285.99,1.48,117.98,25.55,2026-04-17 06:40:32,2026-04-16 16:10:32
DEVICE_002,7.44,210.12,0.63,113.26,22.83,2026-04-17 06:40:32,2026-04-16 16:10:32
DEVICE_003,7.33,299.76,1.5,125.86,25.22,2026-04-17 06:40:32,2026-04-16 16:10:32
DEVICE_001,7.09,289.67,1.5,116.68,25.92,2026-04-17 07:10:32,2026-04-16 16:10:32
DEVICE_002,7.39,212.69,0.61,111.58,22.85,2026-04-17 07:10:32,2026-04-16 16:10:32
DEVICE_003,7.33,300.0,1.5,127.19,25.44,2026-04-17 07:10:32,2026-04-16 16:10:32
DEVICE_001,7.09,291.97,1.5,116.1,25.53,2026-04-17 07:40:32,2026-04-16 16:10:32
DEVICE_002,7.37,213.85,0.6,112.34,22.58,2026-04-17 07:40:32,2026-04-16 16:10:32
DEVICE_003,7.34,300.0,1.47,127.96,25.91,2026-04-17 07:40:32,2026-04-16 16:10:32
DEVICE_001,7.05,294.63,1.5,117.76,25.2,2026-04-17 08:10:32,2026-04-16 16:10:32
DEVICE_002,7.39,211.7,0.56,112.71,22.67,2026-04-17 08:10:32,2026-04-16 16:10:32
DEVICE_003,7.31,300.0,1.47,129.45,25.99,2026-04-17 08:10:32,2026-04-16 16:10:32
DEVICE_001,7.03,294.0,1.47,117.08,24.88,2026-04-17 08:40:32,2026-04-16 16:10:32
DEVICE_002,7.41,207.66,0.51,110.78,22.82,2026-04-17 08:40:32,2026-04-16 16:10:32
DEVICE_003,7.29,299.63,1.5,127.65,26.28,2026-04-17 08:40:32,2026-04-16 16:10:32
DEVICE_001,6.99,289.61,1.47,117.62,25.14,2026-04-17 09:10:32,2026-04-16 16:10:32
DEVICE_002,7.44,204.48,0.55,109.89,22.52,2026-04-17 09:10:32,2026-04-16 16:10:32
DEVICE_003,7.32,295.26,1.5,125.78,26.11,2026-04-17 09:10:32,2026-04-16 16:10:32
DEVICE_001,6.97,444.25,2.84,116.13,25.28,2026-04-17 09:40:32,2026-04-16 16:10:32
DEVICE_002,7.42,205.73,0.59,108.49,22.61,2026-04-17 09:40:32,2026-04-16 16:10:32
DEVICE_003,7.29,295.3,1.5,126.16,26.24,2026-04-17 09:40:32,2026-04-16 16:10:32
DEVICE_001,6.97,300.0,1.5,117.48,24.84,2026-04-17 10:10:32,2026-04-16 16:10:32
DEVICE_002,7.47,210.17,0.58,109.5,22.74,2026-04-17 10:10:32,2026-04-16 16:10:32
DEVICE_003,7.25,295.8,1.5,126.26,26.73,2026-04-17 10:10:32,2026-04-16 16:10:32
DEVICE_001,6.95,297.35,1.49,118.97,24.99,2026-04-17 10:40:32,2026-04-16 16:10:32
DEVICE_002,7.48,214.8,0.62,107.63,22.29,2026-04-17 10:40:32,2026-04-16 16:10:32
DEVICE_003,7.22,299.3,1.46,125.73,27.06,2026-04-17 10:40:32,2026-04-16 16:10:32
DEVICE_001,6.95,300.0,1.46,118.72,25.41,2026-04-17 11:10:32,2026-04-16 16:10:32
DEVICE_002,7.51,219.57,0.63,106.4,22.01,2026-04-17 11:10:32,2026-04-16 16:10:32
DEVICE_003,7.26,295.6,1.5,126.33,27.5,2026-04-17 11:10:32,2026-04-16 16:10:32
DEVICE_001,6.91,300.0,1.46,118.32,25.66,2026-04-17 11:40:32,2026-04-16 16:10:32
DEVICE_002,7.47,222.12,0.61,108.06,21.74,2026-04-17 11:40:32,2026-04-16 16:10:32
DEVICE_003,7.23,433.84,3.16,125.96,27.75,2026-04-17 11:40:32,2026-04-16 16:10:32
DEVICE_001,6.89,300.0,1.41,116.45,25.16,2026-04-17 12:10:32,2026-04-16 16:10:32
DEVICE_002,7.51,223.1,0.59,107.37,21.42,2026-04-17 12:10:32,2026-04-16 16:10:32
DEVICE_003,7.19,300.0,1.5,126.56,28.17,2026-04-17 12:10:32,2026-04-16 16:10:32
DEVICE_001,6.85,297.85,1.39,118.38,25.29,2026-04-17 12:40:32,2026-04-16 16:10:32
DEVICE_002,7.55,223.28,0.6,106.64,20.96,2026-04-17 12:40:32,2026-04-16 16:10:32
DEVICE_003,7.19,298.43,1.48,126.24,28.17,2026-04-17 12:40:32,2026-04-16 16:10:32
DEVICE_001,6.86,295.26,1.43,118.58,25.4,2026-04-17 13:10:32,2026-04-16 16:10:32
DEVICE_002,7.57,219.27,0.62,107.06,21.35,2026-04-17 13:10:32,2026-04-16 16:10:32
DEVICE_003,7.21,296.63,1.5,125.47,27.76,2026-04-17 13:10:32,2026-04-16 16:10:32
DEVICE_001,6.87,290.79,1.45,118.67,25.07,2026-04-17 13:40:32,2026-04-16 16:10:32
DEVICE_002,7.58,215.05,0.64,106.91,20.98,2026-04-17 13:40:32,2026-04-16 16:10:32
DEVICE_003,7.24,293.42,1.5,126.83,27.46,2026-04-17 13:40:32,2026-04-16 16:10:32
DEVICE_001,6.89,287.33,1.44,119.77,24.77,2026-04-17 14:10:32,2026-04-16 16:10:32
DEVICE_002,7.59,215.15,0.68,106.98,20.71,2026-04-17 14:10:32,2026-04-16 16:10:32
DEVICE_003,7.19,289.5,1.5,125.89,27.11,2026-04-17 14:10:32,2026-04-16 16:10:32
DEVICE_001,6.88,290.25,1.44,118.62,24.4,2026-04-17 14:40:32,2026-04-16 16:10:32
DEVICE_002,7.6,216.72,0.68,105.81,20.62,2026-04-17 14:40:32,2026-04-16 16:10:32
DEVICE_003,7.2,285.33,1.5,127.65,27.48,2026-04-17 14:40:32,2026-04-16 16:10:32
DEVICE_001,6.85,290.89,1.44,117.43,24.33,2026-04-17 15:10:32,2026-04-16 16:10:32
DEVICE_002,7.61,219.48,0.67,105.43,20.49,2026-04-17 15:10:32,2026-04-16 16:10:32
DEVICE_003,7.2,285.26,1.5,128.66,27.94,2026-04-17 15:10:32,2026-04-16 16:10:32
DEVICE_001,6.9,293.8,1.39,118.73,24.75,2026-04-17 15:40:32,2026-04-16 16:10:32
DEVICE_002,7.57,221.41,0.67,103.71,20.45,2026-04-17 15:40:32,2026-04-16 16:10:32
DEVICE_003,7.19,283.25,1.47,127.98,27.77,2026-04-17 15:40:32,2026-04-16 16:10:32
DEVICE_001,6.93,290.96,1.38,120.5,24.62,2026-04-17 16:10:32,2026-04-16 16:10:32
DEVICE_002,7.57,421.51,2.11,102.71,20.16,2026-04-17 16:10:32,2026-04-16 16:10:32
DEVICE_003,7.18,279.75,1.47,129.65,27.7,2026-04-17 16:10:32,2026-04-16 16:10:32
DEVICE_001,6.96,288.2,1.41,119.37,24.88,2026-04-17 16:40:32,2026-04-16 16:10:32
DEVICE_002,7.58,300.0,1.5,102.96,20.0,2026-04-17 16:40:32,2026-04-16 16:10:32
DEVICE_003,7.16,281.79,1.43,127.69,27.48,2026-04-17 16:40:32,2026-04-16 16:10:32
DEVICE_001,6.93,287.86,1.36,118.81,24.9,2026-04-17 17:10:32,2026-04-16 16:10:32
DEVICE_002,7.55,298.73,1.46,104.19,20.0,2026-04-17 17:10:32,2026-04-16 16:10:32
DEVICE_003,7.12,380.21,3.23,128.82,27.54,2026-04-17 17:10:32,2026-04-16 16:10:32
DEVICE_001,6.91,283.62,1.32,120.32,25.19,2026-04-17 17:40:32,2026-04-16 16:10:32
DEVICE_002,7.59,298.39,1.48,102.35,20.33,2026-04-17 17:40:32,2026-04-16 16:10:32
DEVICE_003,7.07,300.0,1.5,127.28,27.4,2026-04-17 17:40:32,2026-04-16 16:10:32
DEVICE_001,6.92,286.77,1.28,120.36,25.61,2026-04-17 18:10:32,2026-04-16 16:10:32
DEVICE_002,7.63,298.71,1.5,101.1,20.51,2026-04-17 18:10:32,2026-04-16 16:10:32
DEVICE_003,7.03,300.0,1.5,128.38,27.02,2026-04-17 18:10:32,2026-04-16 16:10:32
DEVICE_001,6.87,285.64,1.3,121.21,25.88,2026-04-17 18:40:32,2026-04-16 16:10:32
DEVICE_002,7.68,497.0,2.77,102.74,20.21,2026-04-17 18:40:32,2026-04-16 16:10:32
DEVICE_003,6.99,300.0,1.5,129.63,26.6,2026-04-17 18:40:32,2026-04-16 16:10:32
DEVICE_001,6.9,284.32,1.3,123.07,26.16,2026-04-17 19:10:32,2026-04-16 16:10:32
DEVICE_002,7.66,300.0,1.5,101.79,20.0,2026-04-17 19:10:32,2026-04-16 16:10:32
DEVICE_003,7.02,300.0,1.5,130.96,26.56,2026-04-17 19:10:32,2026-04-16 16:10:32
DEVICE_001,6.92,283.26,1.32,124.13,25.95,2026-04-17 19:40:32,2026-04-16 16:10:32
DEVICE_002,7.66,300.0,1.49,102.08,20.13,2026-04-17 19:40:32,2026-04-16 16:10:32
DEVICE_003,7.07,297.72,1.5,129.0,26.51,2026-04-17 19:40:32,2026-04-16 16:10:32
DEVICE_001,6.91,284.61,1.34,125.82,25.63,2026-04-17 20:10:32,2026-04-16 16:10:32
DEVICE_002,7.7,300.0,1.49,101.12,20.16,2026-04-17 20:10:32,2026-04-16 16:10:32
DEVICE_003,7.07,300.0,1.5,130.43,26.28,2026-04-17 20:10:32,2026-04-16 16:10:32
DEVICE_001,6.96,280.2,1.34,124.12,25.98,2026-04-17 20:40:32,2026-04-16 16:10:32
DEVICE_002,7.68,295.21,1.47,100.0,20.02,2026-04-17 20:40:32,2026-04-16 16:10:32
DEVICE_003,7.06,295.5,1.48,129.18,26.6,2026-04-17 20:40:32,2026-04-16 16:10:32
DEVICE_001,6.98,279.61,1.33,124.19,26.41,2026-04-17 21:10:32,2026-04-16 16:10:32
DEVICE_002,7.68,290.94,1.44,101.49,20.33,2026-04-17 21:10:32,2026-04-16 16:10:32
DEVICE_003,7.02,297.42,1.46,130.8,26.74,2026-04-17 21:10:32,2026-04-16 16:10:32
DEVICE_001,7.01,284.44,1.32,123.55,26.64,2026-04-17 21:40:32,2026-04-16 16:10:32
DEVICE_002,7.68,290.15,1.46,101.55,20.24,2026-04-17 21:40:32,2026-04-16 16:10:32
DEVICE_003,7.03,298.72,1.5,129.55,27.19,2026-04-17 21:40:32,2026-04-16 16:10:32
DEVICE_001,7.0,281.52,1.33,122.27,27.02,2026-04-17 22:10:32,2026-04-16 16:10:32
DEVICE_002,7.72,291.22,1.46,100.0,20.48,2026-04-17 22:10:32,2026-04-16 16:10:32
DEVICE_003,6.98,300.0,1.5,129.92,27.02,2026-04-17 22:10:32,2026-04-16 16:10:32
DEVICE_001,6.98,279.89,1.31,121.8,27.5,2026-04-17 22:40:32,2026-04-16 16:10:32
DEVICE_002,7.73,289.62,1.43,100.0,20.71,2026-04-17 22:40:32,2026-04-16 16:10:32
DEVICE_003,7.0,300.0,1.47,130.49,26.59,2026-04-17 22:40:32,2026-04-16 16:10:32
DEVICE_001,7.0,275.56,1.26,122.13,27.55,2026-04-17 23:10:32,2026-04-16 16:10:32
DEVICE_002,7.73,291.71,1.46,100.68,21.06,2026-04-17 23:10:32,2026-04-16 16:10:32
DEVICE_003,6.97,300.0,1.44,129.47,26.32,2026-04-17 23:10:32,2026-04-16 16:10:32
DEVICE_001,6.98,279.08,1.3,123.52,27.86,2026-04-17 23:40:32,2026-04-16 16:10:32
DEVICE_002,7.69,288.01,1.5,100.0,20.97,2026-04-17 23:40:32,2026-04-16 16:10:32
DEVICE_003,6.99,300.0,1.39,129.9,25.92,2026-04-17 23:40:32,2026-04-16 16:10:32
DEVICE_001,6.94,282.68,1.31,122.99,28.05,2026-04-18 00:10:32,2026-04-16 16:10:32
DEVICE_002,7.7,292.8,1.5,100.0,20.76,2026-04-18 00:10:32,2026-04-16 16:10:32
DEVICE_003,6.97,296.65,1.4,131.37,25.62,2026-04-18 00:10:32,2026-04-16 16:10:32
DEVICE_001,6.91,278.61,1.33,121.94,28.46,2026-04-18 00:40:32,2026-04-16 16:10:32
DEVICE_002,7.75,291.06,1.45,100.0,20.95,2026-04-18 00:40:32,2026-04-16 16:10:32
DEVICE_003,7.01,293.03,1.43,131.49,25.39,2026-04-18 00:40:32,2026-04-16 16:10:32
DEVICE_001,6.95,276.47,1.36,120.16,28.65,2026-04-18 01:10:32,2026-04-16 16:10:32
DEVICE_002,7.75,477.44,2.94,100.0,20.75,2026-04-18 01:10:32,2026-04-16 16:10:32
DEVICE_003,7.04,297.09,1.4,130.75,25.87,2026-04-18 01:10:32,2026-04-16 16:10:32
DEVICE_001,6.91,280.0,1.36,122.15,28.52,2026-04-18 01:40:32,2026-04-16 16:10:32
DEVICE_002,7.74,300.0,1.5,100.4,21.06,2026-04-18 01:40:32,2026-04-16 16:10:32
DEVICE_003,7.04,403.21,3.05,129.16,25.62,2026-04-18 01:40:32,2026-04-16 16:10:32
DEVICE_001,6.95,275.61,1.39,122.84,28.6,2026-04-18 02:10:32,2026-04-16 16:10:32
DEVICE_002,7.78,300.0,1.5,100.0,20.75,2026-04-18 02:10:32,2026-04-16 16:10:32
DEVICE_003,7.02,300.0,1.5,128.78,26.09,2026-04-18 02:10:32,2026-04-16 16:10:32
DEVICE_001,6.95,273.14,1.35,122.9,28.37,2026-04-18 02:40:32,2026-04-16 16:10:32
DEVICE_002,7.79,300.0,1.5,101.62,20.61,2026-04-18 02:40:32,2026-04-16 16:10:32
DEVICE_003,7.01,298.79,1.5,128.73,26.5,2026-04-18 02:40:32,2026-04-16 16:10:32
DEVICE_001,6.91,273.35,1.36,123.54,28.35,2026-04-18 03:10:32,2026-04-16 16:10:32
DEVICE_002,7.79,300.0,1.46,101.77,20.77,2026-04-18 03:10:32,2026-04-16 16:10:32
DEVICE_003,7.01,299.84,1.5,127.73,26.64,2026-04-18 03:10:32,2026-04-16 16:10:32
DEVICE_001,6.96,277.22,1.38,122.19,28.42,2026-04-18 03:40:32,2026-04-16 16:10:32
DEVICE_002,7.8,295.0,1.47,102.18,21.18,2026-04-18 03:40:32,2026-04-16 16:10:32
DEVICE_003,6.98,300.0,1.49,129.03,26.34,2026-04-18 03:40:32,2026-04-16 16:10:32
DEVICE_001,6.94,277.95,1.41,123.25,28.36,2026-04-18 04:10:32,2026-04-16 16:10:32
DEVICE_002,7.75,295.52,1.5,103.59,21.47,2026-04-18 04:10:32,2026-04-16 16:10:32
DEVICE_003,6.97,297.8,1.49,129.81,26.36,2026-04-18 04:10:32,2026-04-16 16:10:32
DEVICE_001,6.89,280.15,1.42,124.79,28.68,2026-04-18 04:40:32,2026-04-16 16:10:32
DEVICE_002,7.77,294.55,1.49,105.05,21.0,2026-04-18 04:40:32,2026-04-16 16:10:32
DEVICE_003,6.94,295.76,1.5,127.91,25.9,2026-04-18 04:40:32,2026-04-16 16:10:32
DEVICE_001,6.93,278.35,1.43,123.46,28.61,2026-04-18 05:10:32,2026-04-16 16:10:32
DEVICE_002,7.78,290.48,1.46,103.23,21.05,2026-04-18 05:10:32,2026-04-16 16:10:32
DEVICE_003,6.98,291.02,1.46,128.67,26.19,2026-04-18 05:10:32,2026-04-16 16:10:32
DEVICE_001,6.93,275.16,1.38,124.11,28.73,2026-04-18 05:40:32,2026-04-16 16:10:32
DEVICE_002,7.8,292.97,1.49,102.12,21.09,2026-04-18 05:40:32,2026-04-16 16:10:32
DEVICE_003,6.99,295.12,1.44,126.75,26.03,2026-04-18 05:40:32,2026-04-16 16:10:32
DEVICE_001,6.92,276.4,1.38,124.65,29.0,2026-04-18 06:10:32,2026-04-16 16:10:32
DEVICE_002,7.83,288.47,1.46,100.45,21.05,2026-04-18 06:10:32,2026-04-16 16:10:32
DEVICE_003,7.02,298.55,1.42,127.83,25.64,2026-04-18 06:10:32,2026-04-16 16:10:32
DEVICE_001,6.96,280.45,1.37,126.54,28.81,2026-04-18 06:40:32,2026-04-16 16:10:32
DEVICE_002,7.87,285.48,1.47,100.0,21.29,2026-04-18 06:40:32,2026-04-16 16:10:32
DEVICE_003,6.97,297.45,1.37,126.74,25.52,2026-04-18 06:40:32,2026-04-16 16:10:32
DEVICE_001,6.97,276.34,1.32,127.2,29.16,2026-04-18 07:10:32,2026-04-16 16:10:32
DEVICE_002,7.85,481.05,2.81,100.0,21.56,2026-04-18 07:10:32,2026-04-16 16:10:32
DEVICE_003,6.99,406.43,3.1,128.64,25.17,2026-04-18 07:10:32,2026-04-16 16:10:32
DEVICE_001,6.96,272.39,1.33,125.63,29.61,2026-04-18 07:40:32,2026-04-16 16:10:32
DEVICE_002,7.82,449.0,2.57,100.0,21.96,2026-04-18 07:40:32,2026-04-16 16:10:32
DEVICE_003,6.95,300.0,1.5,129.75,25.34,2026-04-18 07:40:32,2026-04-16 16:10:32
DEVICE_001,7.0,267.85,1.33,124.84,29.84,2026-04-18 08:10:32,2026-04-16 16:10:32
DEVICE_002,7.79,500.0,2.71,100.0,21.69,2026-04-18 08:10:32,2026-04-16 16:10:32
DEVICE_003,6.99,296.16,1.5,128.33,25.83,2026-04-18 08:10:32,2026-04-16 16:10:32
DEVICE_001,6.95,271.04,1.35,125.92,29.81,2026-04-18 08:40:32,2026-04-16 16:10:32
DEVICE_002,7.83,427.0,3.16,100.72,22.04,2026-04-18 08:40:32,2026-04-16 16:10:32
DEVICE_003,6.94,299.51,1.5,128.23,25.82,2026-04-18 08:40:32,2026-04-16 16:10:32
DEVICE_001,6.94,267.42,1.32,124.68,29.87,2026-04-18 09:10:32,2026-04-16 16:10:32
DEVICE_002,7.79,300.0,1.5,101.88,21.85,2026-04-18 09:10:32,2026-04-16 16:10:32
DEVICE_003,6.92,295.42,1.5,127.08,25.49,2026-04-18 09:10:32,2026-04-16 16:10:32
DEVICE_001,6.92,265.09,1.3,124.73,29.48,2026-04-18 09:40:32,2026-04-16 16:10:32
DEVICE_002,7.76,300.0,1.46,101.94,21.79,2026-04-18 09:40:32,2026-04-16 16:10:32
DEVICE_003,6.96,291.12,1.5,126.12,25.1,2026-04-18 09:40:32,2026-04-16 16:10:32
DEVICE_001,6.9,264.47,1.29,126.64,29.66,2026-04-18 10:10:32,2026-04-16 16:10:32
DEVICE_002,7.76,297.25,1.48,101.01,21.74,2026-04-18 10:10:32,2026-04-16 16:10:32
DEVICE_003,6.93,289.89,1.45,127.49,24.63,2026-04-18 10:10:32,2026-04-16 16:10:32
DEVICE_001,6.9,264.9,1.29,126.38,29.25,2026-04-18 10:40:32,2026-04-16 16:10:32
DEVICE_002,7.73,298.36,1.5,100.66,22.08,2026-04-18 10:40:32,2026-04-16 16:10:32
DEVICE_003,6.95,287.16,1.44,129.46,24.87,2026-04-18 10:40:32,2026-04-16 16:10:32
